enfermedad,user_post,lemma_post,user_comment,lemma_comment
Alzheimer,diariodejorgetv,['desconocido'],las mejor dupla,"['suerte', 'ese', 'abuelo']"
Alzheimer,diariodejorgetv,['desconocido'],Paula 👩🏼 & Aika 🐶,"['hija', 'hacer', 'correcto', 'cuidar', 'abuela', 'ser', 'madre', 'abuelo', 'siempre', 'hija', 'vivir', 'tranquilo', 'haber él', 'cuidar', 'final']"
Alzheimer,diariodejorgetv,['desconocido'],Luchy,"['año', 'niña', 'mejor', 'cargo', 'persona', 'hacer', 'deberiar']"
Alzheimer,diariodejorgetv,['desconocido'],Elena,"['madre', 'jajajajo', 'normal', 'cuidir']"
Alzheimer,diariodejorgetv,['desconocido'],Carla Herrera L&C,"['cuidir', 'abuela', 'volver', 'hacer', 'mil', 'vez', 'aunque', 'cansado', 'satisfacción', 'grande', 'dar él', 'alguien', 'ama']"
Alzheimer,diariodejorgetv,['desconocido'],Laura🖤✨,"['año', 'cuidar', 'dos', 'abuelo', 'año', 'pañal', 'comida', 'baño', 'medicacion', 'etc', 'dia', 'volveria', 'hacer', 'vez', 'hacer', 'falta', 'jama', 'cambiario']"
Alzheimer,diariodejorgetv,['desconocido'],MILENA🌹,"['debería', 'orgulloso']"
Alzheimer,diariodejorgetv,['desconocido'],lilita,"['razón', 'madre', 'además', 'demostrar', 'ser', 'buen', 'madre']"
Alzheimer,diariodejorgetv,['desconocido'],Noemí Regala_il.lusió,"['cuidir', 'abuela', 'mientras', 'amiga', 'salir', 'nunca', 'vida', 'ir', 'arrepentir']"
Alzheimer,diariodejorgetv,['desconocido'],Léatoy🐶,"['entender', 'madre']"
Alzheimer,diariodejorgetv,['desconocido'],Vanessa,"['llevar', 'programa', 'enteir']"
Alzheimer,diariodejorgetv,['desconocido'],lupemaldonado1066,['cuida']
Alzheimer,diariodejorgetv,['desconocido'],Leire Aranzabal,"['creer', 'madre', 'razón', 'abuela', 'decir', 'mismo', 'correcto', 'vivo', 'vida', 'decis', 'dedique', 'cuidar', 'abuela', 'solo', 'mal', 'vai']"
Alzheimer,diariodejorgetv,['desconocido'],amandaburdallo,"['veo', 'normal', 'nieta', 'qerar', 'cuidar', 'abuela']"
Alzheimer,diariodejorgetv,['desconocido'],Ainhoa Mejia pedraza,"['beatriz', 'hacer', 'hija', 'hacer', 'rol', 'hija', 'nieto']"
